tender_no.,tender_description,agency,award_date,tender_detail_status,supplier_name,awarded_amt_v1,awarded_amt,main_category,augmented_text
HOMHQ0ETT15000298,Supply of Dry Toilet System,Ministry of Home Affairs-Ministry Headquarter,17/3/2016,Awarded to Suppliers,SERBEST TRADING ENTERPRISE PTE. LTD.,"199,269.2",$199269.2,Government Ministries & Departments,"Following a thorough evaluation, the award was granted on 17/3/2016 to SERBEST TRADING ENTERPRISE PTE. LTD. for $199269.2. This tender holds the status: Awarded to Suppliers. Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) has issued Tender No. HOMHQ0ETT15000298 seeking submissions for Supply of Dry Toilet System."
MOESCHETT18300005,PROVISION OF 16-DAY BICULTURAL STUDIES EDUCATIONAL IMMERSION PROGRAMME TO UNITED STATES OF AMERICA FOR DUNMAN HIGH SCHOOL,Ministry of Education - Schools,17/7/2018,Awarded to Suppliers,STA TRAVEL (PTE) LTD,"121,879.7",$121879.7,Government Ministries & Departments,"Status update: Awarded to Suppliers. In a call for competitive bids, Ministry of Education - Schools (Government Ministries & Departments) released Tender No. MOESCHETT18300005 regarding PROVISION OF 16-DAY BICULTURAL STUDIES EDUCATIONAL IMMERSION PROGRAMME TO UNITED STATES OF AMERICA FOR DUNMAN HIGH SCHOOL. Following a thorough evaluation, the award was granted on 17/7/2018 to STA TRAVEL (PTE) LTD for $121879.7."
CCYNYCETT15000024,INVITATION TO TENDER FOR ONE YEAR TERM CONTRACT OF PROJECT MANAGER FOR OBS INFRASTRUCTURE AND BUILDING PROJECTS WITH THE OPTION TO EXTEND FOR ANOTHER ONE YEAR,"Ministry of Culture, Community and Youth - National Youth Council",9/10/2015,Awarded to No Suppliers,Unknown,0.0,$0,Government Ministries & Departments,"After a meticulous evaluation, no supplier was awarded as of 9/10/2015. Announcing Tender No. CCYNYCETT15000024, Ministry of Culture, Community and Youth - National Youth Council (Government Ministries & Departments) invites proposals for INVITATION TO TENDER FOR ONE YEAR TERM CONTRACT OF PROJECT MANAGER FOR OBS INFRASTRUCTURE AND BUILDING PROJECTS WITH THE OPTION TO EXTEND FOR ANOTHER ONE YEAR. Status update: Awarded to No Suppliers."
ITA000ETT18300015,"INVITATION TO TENDER FOR THE FOR THE SUPPLY, DELIVERY, INSTALLATION, REPLENISHMENT AND MAINTENANCE OF HOT BEVERAGES DISPENSING MACHINES",Ministry of Communications and Information,23/8/2018,Awarded to Suppliers,EASTIM OCEAN TRADING PTE. LTD.,"91,500.0",$91500,Government Ministries & Departments,"The contract was awarded on 23/8/2018 to EASTIM OCEAN TRADING PTE. LTD. with a value of $91500.0. Tender status is recorded as 'Awarded to Suppliers'. Ministry of Communications and Information, a prominent Government Ministries & Departments organization, has launched Tender No. ITA000ETT18300015 for INVITATION TO TENDER FOR THE FOR THE SUPPLY, DELIVERY, INSTALLATION, REPLENISHMENT AND MAINTENANCE OF HOT BEVERAGES DISPENSING MACHINES."
HLTHQ0ETT14000135,INVITATION TO TENDER FOR PROPOSED CONSTRUCTION OF COVERED LINKWAYS CUM SHELTERED CARPARK AT EXISTING COLLEGE OF MEDICINE BUILDING ON LOT 04063T MK 01 AT 16 COLLEGE ROAD FOR THE MINISTRY OF HEALTH (MOH),Ministry of Health-Ministry Headquarter,2/2/2015,Awarded to Suppliers,PAN MASTER CRAFT CONSTRUCTION PTE. LTD.,"320,800.0",$320800,Government Ministries & Departments,"This tender holds the status: Awarded to Suppliers. Ministry of Health-Ministry Headquarter, a prominent Government Ministries & Departments organization, has launched Tender No. HLTHQ0ETT14000135 for INVITATION TO TENDER FOR PROPOSED CONSTRUCTION OF COVERED LINKWAYS CUM SHELTERED CARPARK AT EXISTING COLLEGE OF MEDICINE BUILDING ON LOT 04063T MK 01 AT 16 COLLEGE ROAD FOR THE MINISTRY OF HEALTH (MOH). The contract was awarded on 2/2/2015 to PAN MASTER CRAFT CONSTRUCTION PTE. LTD. with a value of $320800.0."
HOMHQ0ETT18300072,Conversion of Existing Office to Laboratory,Ministry of Home Affairs-Ministry Headquarter,6/6/2019,Awarded to Suppliers,SODEXO KIM YEW PTE. LTD.,"1,521,660.0",$1521660,Government Ministries & Departments,"Ministry of Home Affairs-Ministry Headquarter, a prominent Government Ministries & Departments organization, has launched Tender No. HOMHQ0ETT18300072 for Conversion of Existing Office to Laboratory. The contract was awarded on 6/6/2019 to SODEXO KIM YEW PTE. LTD. with a value of $1521660.0. Status update: Awarded to Suppliers."
HOMHQ0ETT15000194,3-Year Period Contract for the Supply and Delivery of Dog Food with Option to Extend for another 2 Years,Ministry of Home Affairs-Ministry Headquarter,6/11/2015,Awarded to Suppliers,B2K PET PRODUCTS PTE. LTD.,"2,142.0",$2142,Government Ministries & Departments,"Status update: Awarded to Suppliers. Following a thorough evaluation, the award was granted on 6/11/2015 to B2K PET PRODUCTS PTE. LTD. for $2142.0. Announcing Tender No. HOMHQ0ETT15000194, Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) invites proposals for 3-Year Period Contract for the Supply and Delivery of Dog Food with Option to Extend for another 2 Years."
HOMHQ0ETT14000486,"Supply, Delivery and Installation of Hazmat Equipment with Option for Maintenance",Ministry of Home Affairs-Ministry Headquarter,21/8/2015,Awarded to Suppliers,AVEC CHEM ASIA PACIFIC PTE. LTD.,"337,635.2",$337635.2,Government Ministries & Departments,"AVEC CHEM ASIA PACIFIC PTE. LTD. was chosen on 21/8/2015 to fulfill the tender with a total value of $337635.2. With an aim to secure quality services, Ministry of Home Affairs-Ministry Headquarter from Government Ministries & Departments published Tender No. HOMHQ0ETT14000486 for Supply, Delivery and Installation of Hazmat Equipment with Option for Maintenance. The current status of the tender is: Awarded to Suppliers."
FOR000ETT20300042,"Provision and Delivery of a Mid-Sized Sedan for Official Use of the Singapore High Commission in Wellington, New Zealand.",Ministry of Foreign Affairs,16/2/2021,Awarded to No Suppliers,Unknown,0.0,$0,Government Ministries & Departments,"In a call for competitive bids, Ministry of Foreign Affairs (Government Ministries & Departments) released Tender No. FOR000ETT20300042 regarding Provision and Delivery of a Mid-Sized Sedan for Official Use of the Singapore High Commission in Wellington, New Zealand.. The current status of the tender is: Awarded to No Suppliers. Ultimately, no supplier was selected, and the tender remained unawarded as of 16/2/2021."
HOMHQ0ETT19300075,Supply and 5+4 Year Post-Warranty Comprehensive Maintenance of Breathing Apparatus Proficiency Test System,Ministry of Home Affairs-Ministry Headquarter,28/2/2020,Awarded to Suppliers,DRAEGER SINGAPORE PTE. LTD.,"1,955,844.0",$1955844,Government Ministries & Departments,The contract was awarded on 28/2/2020 to DRAEGER SINGAPORE PTE. LTD. with a value of $1955844.0. The current status of the tender is: Awarded to Suppliers. Ministry of Home Affairs-Ministry Headquarter (Government Ministries & Departments) has issued Tender No. HOMHQ0ETT19300075 seeking submissions for Supply and 5+4 Year Post-Warranty Comprehensive Maintenance of Breathing Apparatus Proficiency Test System.
